"Points:0","Points:1","Points:2"
-4.53e-07,0.044321,-0.10195
-4.53e-07,0.044321,-0.061168
0.044371,0.044257,-0.102
0.041774,0.044321,-0.061168
-4.53e-07,0.044321,-0.020389
-0.041775,0.044321,-0.061168
-0.041775,0.044321,-0.020389
0.086367,0.044321,0.0061747
0.086367,0.044321,-0.0061747
0.086047,0.044321,-0.012374
-4.53e-07,0.044321,0.10195
-0.055513,0.044321,-0.06056
-0.0093484,0.044321,-0.10802
0.063155,0.044321,-0.054606
0.074409,0.044321,-0.028646
0.02083,0.043617,0.11604
0.016972,0.03886,0.11716
-0.030056,0.045613,0.1119
0.055751,0.044321,0.08391
-0.067336,0.044321,-0.052044
-0.05886,0.044321,-0.068592
-0.051137,0.044321,-0.083669
-0.044138,0.039852,-0.10201
-0.021835,0.044321,-0.11035
0.02083,0.043617,-0.11604
-0.066915,0.044321,-0.077257
-0.074069,0.044321,0.063913
-0.069485,0.044321,0.072981
-0.016258,0.039569,0.11738
0.0069694,0.044324,0.11645
0.034711,0.040218,0.10907
0.02839,0.044322,0.10752
0.053689,0.044321,0.093681
0.079735,0.044321,0.048518
0.079852,0.044321,0.039596
0.066915,0.044321,-0.077257
0.061069,0.044321,-0.085495
0.08477,0.044321,-0.024861
-0.083525,0.039931,0.030851
